,start,length,peak,mean_tmax,year
56,2005-06-04,7,37.11593250000003,35.497010714285736,2005
57,2005-06-19,4,39.212122500000035,38.188888750000025,2005
58,2005-07-19,3,40.825342500000005,39.358820000000016,2005
59,2005-08-05,3,40.405085000000014,39.51199750000002,2005
60,2005-09-28,3,32.49599500000001,31.507920000000016,2005
61,2006-07-09,3,40.37652250000002,39.31514000000002,2006
62,2006-07-15,3,39.564205000000015,39.41269500000002,2006
63,2006-08-28,10,39.435875000000024,37.58824850000002,2006
64,2007-05-17,3,34.31676500000003,32.722730833333365,2007
65,2007-07-28,3,39.887535000000014,39.296248333333345,2007
66,2008-01-19,5,19.559227500000006,18.061174000000022,2008
67,2008-02-07,3,18.64550500000003,18.539140000000017,2008
68,2008-03-12,3,24.819850000000017,24.12639750000002,2008
69,2008-04-24,3,29.012845000000027,28.410700833333355,2008
70,2008-06-25,5,38.170377500000015,37.434712500000025,2008
71,2009-05-05,3,30.500637500000025,30.42593833333336,2009
72,2009-06-11,4,39.16579250000002,37.91740500000003,2009
73,2009-06-17,4,36.81829000000002,36.65903562500002,2009
74,2009-08-20,4,39.13454500000003,37.64169437500003,2009
75,2009-08-27,4,38.29659250000003,37.511630000000025,2009
76,2009-09-04,5,36.07879250000002,35.25807700000003,2009
77,2009-10-10,4,31.107390000000024,30.67946187500002,2009
78,2009-10-26,7,28.151577500000016,26.97270250000002,2009
79,2009-11-15,4,26.671627500000014,23.87700000000002,2009
80,2009-12-28,3,18.819452500000025,18.122035000000025,2009
81,2010-04-26,3,29.86842500000003,29.277399166666687,2010
82,2010-08-09,3,40.01552750000002,39.74431833333336,2010
83,2010-08-24,5,39.82287000000002,38.90017700000002,2010
84,2010-09-03,3,36.47112500000003,36.02501833333336,2010
85,2010-09-12,3,35.195122500000025,34.869907500000025,2010
86,2010-12-08,3,21.001672500000026,20.231785000000027,2010
87,2011-02-24,3,22.21776500000003,21.24661500000003,2011
88,2011-04-06,3,28.260980000000018,27.594972500000026,2011
89,2011-04-13,3,28.819240000000022,27.365280000000027,2011
90,2011-09-07,3,34.39937750000003,34.33988000000003,2011
91,2011-09-12,3,34.32031000000002,34.18143250000002,2011
92,2011-10-11,6,31.83559000000004,30.439130833333365,2011
93,2012-05-09,8,36.724447500000025,34.409215625000016,2012
