year,t2m_mean,d2m_mean,rh_mean,heat_index_mean,dpd_mean,wind_mean,t2m_p95,t2m_p05,tmax_mean,tmin_mean,precip_scaled,days tmax≥30°C,days tmax≥33°C,days tmax≥35°C,days tmax≥37°C,days tmax≥40°C,tropical nights tmin≥20°C,days heat index≥35°C,heatwaves,heatwave days,longest (days),wet days,mean intensity (mm/wet day),max 1-day (mm),P95 wet-day (mm),longest dry spell (days)
2005,19.090898147260297,9.148111246575365,57.65312503669546,18.419483129938744,9.942786900684931,2.602967701944617,34.55456125000003,5.4040982500000165,24.001599500000022,13.613426883561667,224.58689999999999,109,67,39,20,2,75,37,7,27,7,35,6.079672114285714,26.23773,13.40128019999999,98
2006,19.094586648972626,11.597420301369887,66.58755964235631,18.73875870650718,7.4971663476027395,2.496067715512512,34.577471,6.135651875000017,23.586846383561664,14.120647424657557,617.0102715,93,65,43,22,1,77,44,3,16,10,69,8.72667797826087,45.181366499999996,31.302769799999986,58
2007,18.392113080479476,10.593687763698652,64.8703383578188,17.9076866367611,7.798425316780821,2.4291733324321187,32.70915650000002,6.6930361250000105,22.97730818493153,13.308985787671254,428.7237405,81,41,24,9,0,46,19,2,6,3,58,7.029319267241379,44.914392,18.009385124999984,53
2008,18.506491048497292,10.259931306352481,63.372676135468474,17.95057727821474,8.24655974214481,2.6022992291515283,33.39637525000003,7.428751125000019,23.07392710382516,13.507427124316964,516.3939315,86,56,21,7,0,55,15,5,19,5,60,8.32995765,40.5629385,24.844525799999964,74
2009,19.414273119863036,9.987911469178105,59.82584526793342,18.803871881692725,9.426361650684932,2.6251151872528347,34.830645500000024,7.610338000000023,24.189400438356188,14.236532109589064,573.438126,105,69,47,20,0,74,35,10,42,7,50,11.08983855,73.5568635,37.12896149999999,87
2010,18.97024897260276,10.84082172773975,64.14366986805692,18.506047803098475,8.129427244863013,2.6856475346396675,34.87674137500003,7.535840875000032,23.20922321232879,14.393542082191804,977.2539405,93,66,49,24,1,80,42,6,20,5,94,10.220854611702128,81.355335,36.311213774999985,44
2011,19.28930857534249,11.03420014212331,63.5689959722941,18.813572261621175,8.25510843321918,2.390540821918054,33.50647950000002,7.0179346250000245,23.95464242465756,14.247372979452079,539.939496,113,62,29,10,1,67,29,6,21,6,60,8.7357705,47.5988985,30.319428375000005,50
2012,18.75948511953554,8.690560117827891,58.00792528680354,18.02430560327629,10.068925001707651,2.51529221508859,33.92274250000002,5.619688125000025,23.614498374316963,13.425572472677619,437.78425350000003,107,63,33,13,1,69,18,3,15,8,42,10.049964750000001,49.963474500000004,27.537025199999995,143
2013,18.57655457363016,9.874039042808242,62.060651342213504,17.954251747286172,8.702515530821918,2.6188282528900095,34.06256537500002,6.430815625000019,23.13431473972605,13.550581493150707,474.2743095,91,59,34,14,0,69,20,5,19,4,60,7.647449775,26.5115985,24.180186374999998,101
2014,19.00004057363016,10.88792118493153,64.18801474690315,18.5172415387183,8.11211938869863,2.6106538427606782,32.21589762500002,7.572882000000027,23.54711139041098,14.117925082191803,551.7340935,84,35,16,3,0,44,8,8,34,7,63,8.530719404761905,60.7824735,21.96886455,74
2015,19.48540955650687,10.320726549657557,60.66404936526118,18.93847459848969,9.164683006849314,2.441774595084613,34.684669625000026,6.856519500000019,24.378112801369884,14.219663493150707,315.8394855,104,68,46,15,1,74,38,9,34,6,48,6.22694978125,25.2914505,18.419057624999997,52
2016,19.327542677595652,10.769006475409858,62.93203586445565,18.83656962129566,8.558536202185792,2.5666408696490732,35.09382787500004,7.6765131250000245,23.939121400273248,14.227617465847018,469.236924,103,75,51,26,2,78,41,5,18,6,64,7.1166334921875,39.645879,22.499045249999998,76
2017,19.64700201712331,9.704500008561666,57.724119731651186,19.004821781290712,9.942502008561645,2.4489344849301116,34.672933625000034,6.247473125000009,24.625719493150708,13.984436273972625,342.06512100000003,114,71,43,15,3,77,32,8,36,7,36,9.173140125,39.792538500000006,26.7893835,54
2018,18.22613207191783,10.883313895547968,66.65016740939917,17.768393170894722,7.342818176369864,2.5474744157834666,33.14990962500002,6.64359975000002,22.564306191780844,13.404212554794544,601.5034305,88,44,29,7,1,57,20,2,11,6,74,7.818717587837837,30.097966500000002,21.401240324999993,91
2019,19.01395116952057,9.795667580479476,59.768102159028146,18.421589898506845,9.218283589041096,2.6017037039897764,32.85481787500002,7.230279125000026,23.752559246575366,13.576521705479474,236.9007855,82,42,14,0,0,46,9,3,15,5,43,5.239373965116279,24.829512,17.10793395,140
2020,19.229159445013686,11.110832332650297,63.60444809143659,18.82307451340012,8.118327112363389,2.3894210335949295,33.52069387500003,8.389936125000016,23.696586256830624,14.345568961748658,419.5024305,95,54,19,8,0,69,29,3,12,5,59,6.840980974576271,31.3410765,25.607913299999982,104
2021,18.766859122498417,11.06955043844983,64.32115555892912,18.376044111948946,7.697308684048587,2.425253811468321,31.798892211914083,7.318057250976585,23.24789453793881,13.863194797463635,427.192211151096,75,34,8,3,0,45,14,3,9,3,50,8.25177669525096,44.29006576538046,26.878237724303116,87
2022,19.547380881113572,11.42134704589846,63.59600644515539,19.181101395345348,8.126033835215111,2.4370739951210716,33.3821243286133,8.37659606933596,24.153196068332644,14.563467616251092,369.31300163266206,91,44,30,17,0,63,36,8,30,5,52,6.847652105184178,27.827739715575497,21.251678466795894,119
2023,19.542011877608648,10.840938097810115,61.422800613209795,19.11905045321698,8.701073779798534,2.3721108576120176,33.53667602539064,6.682133483886742,24.259447907748314,14.281176088934098,346.85683250425285,96,51,29,14,0,71,36,9,47,12,40,8.29762816429094,59.04507637023832,32.06380605697525,85
2024,19.026471251607617,12.039419584847563,67.23144854476084,18.78367127399877,6.9870516667600535,2.528807562650091,32.50363922119143,8.289439392089866,23.449981839539596,14.196713957239393,498.5740184783655,83,38,13,3,0,54,27,4,18,5,52,9.241571793188928,61.429738998412276,28.06921005248961,91
2025,19.185268287136154,11.94157355321599,66.9382703191314,18.932798827061454,7.2436947339201625,2.379781359307532,33.91821594238283,7.25121765136721,23.68080151701629,14.227214238415048,680.0644397735153,99,55,35,17,1,71,42,4,21,7,78,8.510222801794836,41.44549369811895,22.861146926878867,95
