start,length,peak,mean_tmax,year
2034-03-15,4,26.591070956809634,25.47109269595808,2034
2034-03-25,3,25.732984010293038,25.234195682432997,2034
2034-05-18,3,33.31551249211345,33.047147364625424,2034
2034-06-01,3,37.06948694496582,36.37277693812073,2034
2034-06-08,9,42.9280725,40.698457364256704,2034
2034-06-28,3,40.38367683117453,38.99558335344238,2034
2034-08-03,4,39.43508170269952,38.926108673285356,2034
2034-09-01,7,38.06062231534125,37.3029056623156,2034
2035-04-30,3,29.96768985313069,29.673015042378598,2035
2035-05-18,10,36.84791000000003,34.80533802745897,2035
2035-06-05,3,37.20806163698423,36.66243881133894,2035
2035-07-15,4,39.40666036332624,38.62351521087639,2035
2035-08-08,4,39.16799648952546,38.68789810103614,2035
2035-08-30,3,39.68786750000008,38.37751173799804,2035
2035-10-11,3,30.735887211012724,30.12503199053855,2035
2036-02-19,3,20.66584165888573,20.437212913055482,2036
2036-03-26,3,25.582212534730633,25.205564096233577,2036
2036-04-14,5,32.31412,29.28701420463394,2036
2036-05-16,10,34.5459168166145,33.56337862568654,2036
2036-06-04,9,39.563886052415604,37.84860294248847,2036
2036-06-30,3,39.02570321254909,38.73147243264657,2036
2036-08-09,5,38.8603360679172,38.080163765821105,2036
2036-12-07,4,19.219323967124147,18.597143827755872,2036
2036-12-12,3,19.165216287105736,18.13218662264779,2036
2037-01-06,3,18.18109501043724,17.592358368205137,2037
2037-03-15,5,24.39014161329775,24.19890227842312,2037
2037-03-21,7,25.278736786807155,24.947373459261684,2037
2037-04-14,4,30.11491648742558,28.92375012605151,2037
2037-05-31,12,39.71222320056215,36.91114509981009,2037
2037-07-29,3,44.90994750000003,43.50043576994464,2037
2037-09-07,6,40.119097500000066,37.41776569973156,2037
2037-11-07,9,27.051487500000007,24.63226412437104,2037
2038-01-25,6,22.027497500000056,19.949062659139503,2038
2038-03-01,3,23.490525657258832,22.656443516277463,2038
2038-04-07,3,27.095722432813222,26.593614931212013,2038
2038-05-20,5,36.064186905392226,35.469294234196646,2038
2038-06-16,8,41.140339362766596,38.47901621651705,2038
2038-06-25,6,41.01242738121387,39.78705989846972,2038
2038-07-03,6,44.94738000000004,39.96978294630333,2038
2038-10-19,4,29.049106261309362,28.41464595363728,2038
2038-11-03,4,29.649672499999994,27.59919747959529,2038
2038-11-08,6,25.707987388205453,23.870077838538364,2038
2038-11-16,5,25.140706252455146,24.131299365071687,2038
2038-11-27,12,22.91733750000007,20.901982347114362,2038
2038-12-10,8,19.10836866282971,18.307899289314033,2038
2038-12-20,4,18.416514874119382,17.96799295935095,2038
2039-03-01,8,24.918653942348236,23.931412625360032,2039
2039-03-29,13,30.561657068286827,27.64828878705398,2039
2039-04-27,8,33.46351756251708,31.43895693154033,2039
2039-05-07,4,33.33982103504412,33.23730799963331,2039
2039-05-31,5,37.26828461858077,35.822350068805896,2039
2039-06-27,4,38.779029108907565,37.826650116379675,2039
2039-07-27,3,40.05379512986085,38.74140927688001,2039
2039-10-03,4,31.764126319029867,31.277381192012232,2039
2039-11-06,4,28.008775000000014,27.12050491385456,2039
2039-11-22,24,21.518272500000062,19.82560370391588,2039
2040-01-25,5,20.951067500000054,19.023370840699947,2040
2040-02-23,3,21.80732053039295,21.364146572973265,2040
2040-03-18,3,25.50488521170597,25.07624359594509,2040
2040-04-06,5,26.733913509297277,26.342819698335823,2040
2040-04-26,5,30.875714287838022,29.564820070729212,2040
2040-05-05,6,33.41620410020439,31.913383160033096,2040
2040-05-13,9,34.983829900425626,33.77506373322243,2040
2040-05-24,13,38.64871079556561,36.68454395245659,2040
2040-07-09,4,44.82042750000004,42.438086861496416,2040
2040-07-18,3,38.285295812869116,38.21221585158716,2040
2040-07-30,3,39.479152453675184,39.360870680220565,2040
2040-09-14,4,34.10690589241028,33.65316705511603,2040
2040-09-21,4,33.45854459242544,32.76058783137187,2040
