valid_time,year,month,precip_3mo_raw,spi3_raw,precip_3mo_corrected,spi3_corrected
2029-09-01,2029,9,17.578934433868046,-0.4641972189949672,29.890598084622194,0.07471207680329008
2029-10-01,2029,10,29.66302017648792,-1.5834439852078785,63.90441406261222,-0.5579937359657611
2029-11-01,2029,11,44.777145006134944,-1.9608520952035071,106.80096319095823,-0.6193355989725567
2029-12-01,2029,12,40.1480330469701,-2.3218348600230327,90.4899120549116,-1.232617206575049
2030-01-01,2030,1,39.97335586253177,-1.5246097974242914,88.9489378550178,-0.7248856267324033
2030-02-01,2030,2,15.82385775049341,-2.044728765850261,41.847268408117394,-1.290063395995857
2030-03-01,2030,3,22.951060566269156,-2.190144610123494,46.714922007695726,-1.4366508069473711
2030-04-01,2030,4,12.771329465289416,-3.9229212197509034,15.54921092400627,-3.684271743331319
2030-05-01,2030,5,63.59702818443595,-1.6458541740161072,87.9618394656412,-0.9758850663720539
2030-06-01,2030,6,55.30306861950515,-0.8996566110149402,75.31034734641474,-0.30790659567972245
2030-07-01,2030,7,54.22541901623422,0.5433153404267753,74.06841943740108,0.9401169814571394
2030-08-01,2030,8,3.720449513357546,-0.5499320660707258,0.642109989409059,-1.4915736747089487
2030-09-01,2030,9,9.378359950665146,-1.0045887604360353,17.147439890587265,-0.4873960111983756
2030-10-01,2030,10,8.589626789594258,-2.869489035753965,17.107256729473736,-2.2000070311118156
2030-11-01,2030,11,11.38946157265579,-3.5588826688089825,20.528097329405988,-2.9302812710617383
2030-12-01,2030,12,14.350590155697601,-3.4308460976119575,33.379586900278625,-2.5397562420884707
2031-01-01,2031,1,35.08215381799206,-1.6403596128339613,93.55116246547746,-0.668360112536012
2031-02-01,2031,2,54.10010776967475,-1.060239676547579,137.3855796389143,-0.07549132135251967
2031-03-01,2031,3,72.56629995323098,-0.8950143146176047,148.056870512926,0.14561149150938285
2031-04-01,2031,4,86.95040880480602,-1.051503087337747,129.80957273679357,-0.23638355851725903
2031-05-01,2031,5,90.46285240818594,-0.9148479533175818,106.02728662425302,-0.5590282591185783
