valid_time,latitude,longitude,tp,t2m,u10,v10,d2m,number,expver,t2m_celsius,d2m_celsius
1990-01-08 00:00:00,39.5,22.5,0.0,267.48474,-0.10771179,1.2024384,265.67688,0,0001,-5.6652527,-7.473114
1990-01-08 06:00:00,39.75,22.25,0.0,268.6786,-0.30381775,-1.1889343,257.1455,0,0001,-4.471405,-16.004486
1990-01-08 06:00:00,39.75,22.5,0.0,272.83484,-0.052841187,-1.1860046,260.72363,0,0001,-0.31515503,-12.426361
1990-01-08 06:00:00,39.5,22.25,0.0,267.87585,-0.044052124,0.5923157,263.10254,0,0001,-5.2741394,-10.047455
1990-01-08 06:00:00,39.5,22.5,0.0,267.04968,-0.11143494,0.714386,262.5244,0,0001,-6.1003113,-10.62558
1990-01-08 12:00:00,39.75,22.25,0.0,278.75903,-0.08631897,0.5580597,267.00854,0,0001,5.6090393,-6.141449
1990-01-08 12:00:00,39.75,22.5,0.0,279.3352,-0.5599518,0.031692505,271.27222,0,0001,6.185211,-1.8777771
1990-01-08 12:00:00,39.5,22.25,0.0,280.2942,-0.05897522,-0.22807312,269.073,0,0001,7.1441956,-4.076996
1990-01-08 12:00:00,39.5,22.5,0.0,279.78442,-0.0062408447,-0.00541687,270.97534,0,0001,6.63443,-2.174652
1990-01-08 18:00:00,39.75,22.25,0.0,269.93304,0.1648407,-0.65908813,266.31238,0,0001,-3.2169495,-6.837616
1990-01-08 18:00:00,39.75,22.5,0.0,273.77875,0.67167664,-0.34268188,269.2655,0,0001,0.62875366,-3.884491
1990-01-08 18:00:00,39.5,22.25,0.0,272.95453,0.8552704,0.15829468,267.80066,0,0001,-0.19546509,-5.3493347
1990-01-08 18:00:00,39.5,22.5,0.0,272.851,0.5007782,0.8575134,268.82214,0,0001,-0.2989807,-4.3278503
1990-01-09 00:00:00,39.75,22.25,0.0,268.2859,0.05079651,-1.0224304,262.5332,0,0001,-4.864105,-10.616791
1990-01-09 00:00:00,39.75,22.5,0.0,272.2566,0.65919495,-0.58688354,265.19727,0,0001,-0.8934021,-7.9527283
1990-01-09 00:00:00,39.5,22.25,0.0,267.0066,0.05470276,0.5449524,265.8496,0,0001,-6.143402,-7.3003845
1990-01-09 00:00:00,39.5,22.5,0.0,267.3777,0.014663696,0.67581177,266.60547,0,0001,-5.7723083,-6.544525
1990-01-09 06:00:00,39.75,22.25,0.0,267.56488,0.115356445,-1.177536,255.57225,0,0001,-5.5851135,-17.577744
1990-01-09 06:00:00,39.75,22.5,0.0,269.56293,1.2423096,0.117385864,260.63086,0,0001,-3.5870667,-12.5191345
1990-01-09 06:00:00,39.5,22.25,0.0,265.9184,-0.095581055,0.5988312,263.82617,0,0001,-7.231598,-9.323822
1990-01-09 06:00:00,39.5,22.5,0.0,266.27777,-0.16589355,1.0539093,264.97266,0,0001,-6.872223,-8.177338
1990-01-09 12:00:00,39.75,22.25,0.0,278.27106,0.4693451,0.13169861,262.65662,0,0001,5.121063,-10.493378
1990-01-09 12:00:00,39.75,22.5,0.0,278.41754,0.49961853,0.48228455,264.10583,0,0001,5.2675476,-9.044159
1990-01-09 12:00:00,39.5,22.25,0.0,278.84528,0.13438416,0.42271423,267.00037,0,0001,5.695282,-6.1496277
1990-01-09 12:00:00,39.5,22.5,0.0,278.21246,0.49375916,0.7264252,267.74646,0,0001,5.0624695,-5.403534
1990-01-09 18:00:00,39.75,22.25,0.0,269.864,-0.14039612,-1.1593933,263.33582,0,0001,-3.2859802,-9.814178
1990-01-09 18:00:00,39.75,22.5,0.0,272.55347,0.46507263,-0.3937683,264.43347,0,0001,-0.5965271,-8.716522
1990-01-09 18:00:00,39.5,22.25,0.0,269.49878,-0.58473206,1.3357239,265.96082,0,0001,-3.6512146,-7.1891785
1990-01-09 18:00:00,39.5,22.5,0.0,269.05542,-1.1286774,1.2185364,266.1034,0,0001,-4.094574,-7.0466003
1990-01-10 00:00:00,39.75,22.25,0.0,271.3059,-0.09010315,-2.1929169,256.8003,0,0001,-1.8440857,-16.3497
1990-01-10 00:00:00,39.75,22.5,0.0,275.48364,0.68626404,-1.6069794,260.54053,0,0001,2.3336487,-12.609467
1990-01-10 00:00:00,39.5,22.25,0.0,267.1399,-0.3283844,1.1195831,263.91943,0,0001,-6.0101013,-9.23056
1990-01-10 00:00:00,39.5,22.5,0.0,268.25708,-0.74928284,1.1498566,264.71826,0,0001,-4.892914,-8.431732
1990-01-10 06:00:00,39.75,22.25,0.0,267.39612,-0.21128845,-1.8982391,256.1306,0,0001,-5.7538757,-17.019379
1990-01-10 06:00:00,39.75,22.5,0.0,270.56995,0.19691467,-1.8748016,261.4021,0,0001,-2.5800476,-11.747894
1990-01-10 06:00:00,39.5,22.25,0.0,264.38245,-0.08140564,1.0460968,261.1892,0,0001,-8.767548,-11.960785
1990-01-10 06:00:00,39.5,22.5,0.0,265.30627,-0.4651947,1.1994171,261.79663,0,0001,-7.8437195,-11.353363
1990-01-10 12:00:00,39.75,22.25,0.0,279.7676,-0.095184326,0.57037354,264.84106,0,0001,6.6176147,-8.308929
1990-01-10 12:00:00,39.75,22.5,0.0,280.1602,-0.67233276,-0.42181396,268.01685,0,0001,7.010193,-5.133148
1990-01-10 12:00:00,39.5,22.25,0.0,281.23636,-0.11276245,0.035217285,267.386,0,0001,8.086365,-5.7640076
1990-01-10 12:00:00,39.5,22.5,0.0,280.64066,-0.40670776,-0.085876465,269.56763,0,0001,7.4906616,-3.582367
1990-01-10 18:00:00,39.75,22.25,0.0,271.8589,0.047042847,-0.4955902,265.6125,0,0001,-1.2911072,-7.537506
1990-01-10 18:00:00,39.75,22.5,0.0,275.90186,0.20329285,-0.5405121,268.25897,0,0001,2.7518616,-4.8910217
1990-01-10 18:00:00,39.5,22.25,0.0,274.57568,0.5509491,0.28858948,266.28436,0,0001,1.4256897,-6.865631
1990-01-10 18:00:00,39.5,22.5,0.0,274.61475,0.17790222,0.4653473,268.47968,0,0001,1.4647522,-4.6703186
1990-01-11 00:00:00,39.75,22.25,0.0,268.33826,0.049697876,-1.2436829,262.65417,0,0001,-4.811737,-10.495819
1990-01-11 00:00:00,39.75,22.5,0.0,270.26404,0.5282135,-0.98587036,264.7401,0,0001,-2.8859558,-8.409882
1990-01-11 00:00:00,39.5,22.25,0.0,267.4027,-0.00010681152,0.74069214,263.28503,0,0001,-5.747284,-9.86496
1990-01-11 00:00:00,39.5,22.5,0.0,267.78357,-0.15733337,0.8803406,264.67175,0,0001,-5.3664246,-8.478241
1990-01-11 06:00:00,39.75,22.25,0.0,269.08386,0.0048217773,-1.4006348,261.88153,0,0001,-4.0661316,-11.268463
1990-01-11 06:00:00,39.75,22.5,0.0,273.08972,0.6864624,-0.8898926,263.91473,0,0001,-0.060272217,-9.23526
1990-01-11 06:00:00,39.5,22.25,0.0,266.078,-0.15142822,0.6657715,262.86786,0,0001,-7.071991,-10.282135
1990-01-11 06:00:00,39.5,22.5,0.0,266.71082,-0.19830322,0.63842773,263.43622,0,0001,-6.4391785,-9.713776
1990-01-11 12:00:00,39.75,22.25,0.0,279.585,0.32983398,0.60964966,267.9648,0,0001,6.4349976,-5.1851807
1990-01-11 12:00:00,39.75,22.5,0.0,280.13187,0.39135742,0.48562622,269.30075,0,0001,6.9818726,-3.8492432
1990-01-11 12:00:00,39.5,22.25,0.0,280.72366,0.32104492,0.23464966,268.42184,0,0001,7.5736694,-4.7281494
1990-01-11 12:00:00,39.5,22.5,0.0,280.19046,0.5583496,0.43875122,269.87302,0,0001,7.0404663,-3.2769775
1990-01-11 18:00:00,39.75,22.25,0.0,270.86548,0.0027313232,-0.66934204,266.63718,0,0001,-2.2845154,-6.5128174
1990-01-11 18:00:00,39.75,22.5,0.0,274.95728,0.5398407,-0.18789673,268.0571,0,0001,1.8072815,-5.0928955
1990-01-11 18:00:00,39.5,22.25,0.0,273.8694,-0.34980774,0.5747986,267.26218,0,0001,0.71939087,-5.8878174
1990-01-11 18:00:00,39.5,22.5,0.0,271.90454,-0.5021515,0.7496033,267.91647,0,0001,-1.2454529,-5.2335205
1990-01-12 00:00:00,39.75,22.25,0.0,268.72754,0.02494812,-1.2458191,264.53378,0,0001,-4.422455,-8.616211
1990-01-12 00:00:00,39.75,22.5,0.0,272.458,0.64115906,-0.28878784,265.0455,0,0001,-0.6919861,-8.104492
1990-01-12 00:00:00,39.5,22.25,0.0,266.54004,-0.20454407,0.6926575,265.2662,0,0001,-6.609955,-7.883789
1990-01-12 00:00:00,39.5,22.5,0.0,267.31738,-0.4848175,0.5744934,266.46152,0,0001,-5.832611,-6.6884766
1990-01-12 06:00:00,39.75,22.25,0.0,269.52698,-0.00062561035,-1.5868378,263.73364,0,0001,-3.6230164,-9.416351
1990-01-12 06:00:00,39.75,22.5,0.0,271.9254,0.6946869,-0.31047058,264.30396,0,0001,-1.2245789,-8.846039
1990-01-12 06:00:00,39.5,22.25,0.0,266.8219,-0.24183655,0.76960754,265.1516,0,0001,-6.3280945,-7.9983826
1990-01-12 06:00:00,39.5,22.5,0.0,266.8805,-0.67152405,0.8799591,266.00122,0,0001,-6.2695007,-7.148773
1990-01-12 12:00:00,39.75,22.25,0.0,279.93805,0.3491211,0.38485718,268.30673,0,0001,6.7880554,-4.8432617
1990-01-12 12:00:00,39.75,22.5,0.0,280.13922,0.37939453,0.57821655,268.4337,0,0001,6.9892273,-4.7163086
1990-01-12 12:00:00,39.5,22.25,0.0,280.8404,-0.072753906,0.26278687,269.01376,0,0001,7.690399,-4.1362305
1990-01-12 12:00:00,39.5,22.5,0.0,280.39313,0.28955078,0.37313843,269.0919,0,0001,7.2431335,-4.0581055
1990-01-12 18:00:00,39.75,22.25,0.0,272.96497,-0.15849304,-0.9744873,268.01404,0,0001,-0.18502808,-5.135956
1990-01-12 18:00:00,39.75,22.5,0.0,276.5763,0.07295227,-0.37976074,268.39294,0,0001,3.4263,-4.7570496
1990-01-12 18:00:00,39.5,22.25,0.0,273.4259,-0.68388367,1.0948486,268.2445,0,0001,0.27590942,-4.905487
1990-01-12 18:00:00,39.5,22.5,0.0,271.77942,-1.2405243,0.95129395,268.04138,0,0001,-1.370575,-5.108612
1990-01-13 00:00:00,39.75,22.25,0.0,270.50623,-0.09698486,-1.5766907,265.39215,0,0001,-2.6437683,-7.757843
1990-01-13 00:00:00,39.75,22.5,0.0,274.7035,0.416687,-1.1557922,267.37262,0,0001,1.5534973,-5.7773743
1990-01-13 00:00:00,39.5,22.25,0.0,267.55505,-0.3069458,0.93307495,265.3687,0,0001,-5.59494,-7.7812805
1990-01-13 00:00:00,39.5,22.5,0.0,268.2406,-0.6194458,0.8608093,266.16364,0,0001,-4.9093933,-6.9863586
1990-01-13 06:00:00,39.75,22.25,0.0,269.9049,-0.13095093,-1.7680206,264.28986,0,0001,-3.2450867,-8.860138
1990-01-13 06:00:00,39.75,22.5,0.0,272.49866,0.11514282,-1.8637238,267.0926,0,0001,-0.65133667,-6.0574036
1990-01-13 06:00:00,39.5,22.25,0.0,267.13733,-0.19735718,1.0102997,264.3875,0,0001,-6.012665,-8.762482
1990-01-13 06:00:00,39.5,22.5,0.0,267.8424,-0.4102478,0.9477997,264.8426,0,0001,-5.3075867,-8.307404
1990-01-13 12:00:00,39.75,22.25,0.0,280.829,-0.07800293,0.60873413,271.52527,0,0001,7.679016,-1.6247253
1990-01-13 12:00:00,39.75,22.5,0.0,281.05948,-0.5682373,-0.072906494,274.53503,0,0001,7.909485,1.3850403
1990-01-13 12:00:00,39.5,22.25,0.0,282.37003,-0.31530762,0.06674194,272.65613,0,0001,9.220032,-0.49386597
1990-01-13 12:00:00,39.5,22.5,0.0,281.77628,-0.430542,0.07455444,274.9823,0,0001,8.626282,1.8323059
1990-01-13 18:00:00,39.75,22.25,0.0,271.90204,-0.11552429,-0.73373413,269.16644,0,0001,-1.2479553,-3.983551
