date,t2m_max,t2m_min,t2m_mean,rh_min,rh_mean,tp_mm,wind_avg,wind_max
2008-03-30,21.097380000000015,9.95040000000003,16.18846375000003,41.16477106989883,67.57257062223455,0.0300405,3.363571123145416,4.955033312419038
2008-03-31,20.52154000000003,8.48272500000003,15.05185312500003,33.48602355259951,47.503401480363195,0.0,2.930743453733986,3.217824805670025
2008-04-01,24.226680000000016,10.591572500000026,17.302110625000026,29.025464131225675,45.542964641511965,0.0,3.2585418328645366,5.814221161814236
2008-04-02,24.675467500000025,11.18752000000002,18.984123750000023,17.072356552303827,37.545262913244535,0.0,3.0441085222016815,4.203392823248719
2008-04-03,28.17547000000002,10.562767500000035,19.728538750000027,19.232093274071826,31.108161774790545,0.0,2.7798260260274144,3.8464806144267607
2008-04-04,27.797725000000028,9.745012500000016,19.79786812500002,21.280098815408095,36.33331105491596,0.0,1.8109120439694468,3.712894497824582
2008-04-05,25.011867500000022,10.087150000000008,18.704789375000026,30.033417865495565,46.43465383646217,0.0,1.9440000397481425,3.357501644737579
2008-04-06,23.412320000000022,12.627100000000013,17.817896250000025,51.85581660833025,63.25860485280252,0.0,3.527919948711391,6.070634520148792
2008-04-07,20.079185000000024,14.495995000000022,17.085182500000027,57.368559798199655,76.45849757840425,1.932438,4.710885576497125,8.404350613216673
2008-04-08,17.562037500000017,14.30559750000002,15.540818750000028,81.24999204352828,89.6173807443221,40.5629385,5.736587536348086,8.796498045546233
2008-04-09,18.58693750000002,16.867212500000036,17.618471250000024,83.7344717490112,89.72561633530121,39.055912500000005,6.741613984135784,8.154635766811737
2008-04-10,18.17128750000002,16.236355000000017,17.198037500000016,76.31429002943545,81.69597859358191,35.840686500000004,6.841853353187162,8.168063445124101
2008-04-11,17.175382500000012,9.372462500000012,13.343706250000022,49.86501249315895,64.32048273638085,0.0064455,4.223654926607228,6.149253285192987
2008-04-12,19.40233250000003,7.252925000000033,13.570519375000025,45.85102898121667,62.91656783816027,0.021462,1.8211793122334936,2.60564378766691
2008-04-13,19.07949000000002,8.278220000000019,14.31697000000002,47.28109873859533,63.28344758533018,0.0,2.238057916321928,3.1239276102317004
2008-04-14,20.430232500000017,9.175135000000026,15.52565375000002,49.728952037265515,68.79544138828136,0.0,1.8890550161344568,2.3256021683520496
2008-04-15,22.31216000000003,9.390190000000004,16.515199375000023,42.887333153906134,59.57815780782505,0.0,2.2512824132365443,2.7938729049726136
2008-04-16,20.587547500000028,12.096885000000016,16.266350000000017,47.89153674003343,58.687771094379045,0.4677825,2.7099818304931995,4.386873557348005
2008-04-17,18.946435000000022,15.381130000000027,16.992295000000023,51.24753230632434,71.0499007083096,2.3774909999999996,4.805415036210978,6.706660530245539
2008-04-18,18.094082500000013,13.226952500000024,15.985820000000022,48.39064781712897,67.90426411496784,4.3430505,6.671021597334437,8.026229358285335
2008-04-19,17.142545000000027,13.69595000000004,14.720048750000029,75.68311296385487,81.92345405181283,10.752378,6.477829610952066,7.816198209328087
2008-04-20,16.09555000000003,10.277185000000031,13.761746875000028,63.84432813490646,80.10557769246213,11.755941,4.527892172375907,5.623476867196225
2008-04-21,19.19411500000004,10.754357500000012,15.178614375000024,51.46279495506675,69.81738530570064,0.0607275,3.4742569196293727,4.313971806048577
2008-04-22,21.607935000000023,9.351652500000029,15.617136250000025,47.20694844317001,67.8592632935564,0.0,1.633612902827666,1.9986809143780049
2008-04-23,25.18746250000001,12.633022500000024,18.82215312500002,45.20277640466608,64.1130338410187,0.0,1.7021926594715286,2.10115796171361
2008-04-24,28.02376750000002,15.253747500000015,21.899278125000013,46.701972175383304,61.46078233715035,0.0,2.6514262880940604,3.60220709436216
2008-04-25,29.012845000000027,16.801722500000025,23.149020625000023,30.453682495950737,47.51145016120338,0.0,2.8962397684832863,4.878607955018813
2008-04-26,28.19549000000002,14.551175000000027,21.43592250000002,33.266347493102785,47.43360257334652,0.0,2.098986307552161,2.794730708107165
2008-04-27,26.522852500000027,14.962877500000031,20.90222187500003,42.96780419380128,57.80319602196939,0.0,2.0643739094290923,3.7185511820818458
2008-04-28,24.472557500000025,14.482447500000037,19.63195125000003,36.375266700701886,54.61191434047635,0.0,2.8022851340893955,3.619329217373488
2008-04-29,22.74355250000002,10.725065000000017,17.635714375000024,34.249574886470064,49.95840434693649,0.0,2.544147342309268,3.2596718035344887
2008-04-30,22.02385500000001,10.65658000000002,16.90670875000002,36.83482450240555,53.36003876521047,0.0,2.3200157837459585,3.5412834102797923
2008-05-01,24.39650500000002,9.487577500000016,17.58622125000002,36.90483002638529,58.1888598923725,0.0,1.370845343226191,1.936954554831273
2008-05-02,26.694082500000036,11.158690000000009,19.213725000000025,41.430497056855856,61.961504796823085,0.0,1.4511415804349066,2.065711653808077
2008-05-03,27.775840000000017,13.871115000000016,21.242968750000024,41.4244593563147,60.84293556400179,0.0,1.8844062969952384,2.5380049237790026
2008-05-04,27.110225000000028,14.13017750000003,21.220185000000026,42.09874108176789,63.74357049049758,0.0092955,1.953749354782312,3.308763119164248
2008-05-05,27.40072250000003,14.987972500000026,21.79664875000003,43.744119058344225,62.207008021978666,0.0,1.5777722197581183,2.5306713249245516
2008-05-06,29.687065000000032,16.69121250000005,23.517640000000032,42.02376730291376,61.78006334412736,0.0,1.443183314239953,2.402874784133815
2008-05-07,27.891535000000033,17.249020000000016,23.261225625000023,36.71655917248955,55.61780963966694,0.0,2.518828186787565,4.746251522943264
2008-05-08,22.793637500000017,17.168632500000015,20.51632875000002,60.41840320325379,68.49164670826487,2.3997165000000003,3.285923920596763,4.093949307486579
2008-05-09,21.339135000000027,14.241700000000025,17.593951250000025,36.37210152629151,64.85297385132873,0.5765055,3.4136522414024513,4.990673485592245
2008-05-10,20.37054000000002,11.96413750000002,16.78782875000002,45.660338259333535,59.29668230787676,0.269631,3.931426087909963,5.347338644097111
2008-05-11,19.928062500000024,13.809867500000024,17.326111875000024,57.53371617154632,65.48811152721052,0.20601,2.938135977974072,3.7080425274296456
2008-05-12,22.48379500000003,15.017172500000015,18.746204375000023,57.930987544413334,71.46511115751285,0.9529275,2.3663517734219823,4.573972800029413
2008-05-13,21.619620000000012,14.178005000000027,17.80127812500002,54.414945579187965,75.15463510231021,1.4076840000000002,3.0794690474895843,4.974213621053135
2008-05-14,21.974175000000017,15.328397500000024,18.40009437500002,43.01369501971321,70.44041701101193,0.035763,3.1513055298853487,4.453451596515674
2008-05-15,21.77318750000001,13.980185000000034,18.028031250000023,44.666804921501125,65.954029855277,0.0,2.240132917276582,4.28507452816836
2008-05-16,21.649010000000033,15.02315750000004,18.30441375000003,59.860883068661295,75.4277241361334,0.4257555,2.580704398126749,3.681876607756707
2008-05-17,24.344137500000016,14.718037500000008,19.40885000000002,36.82694549208524,66.75514049332935,0.1180305,2.535208645953672,4.157739363102031
2008-05-18,22.37856000000002,14.155115000000023,18.53427812500002,42.3203735981579,54.90857047618681,0.0286155,4.172093418635085,5.573829189471136
2008-05-19,22.25127500000005,14.484280000000028,18.513153750000033,38.18297624651084,58.553793764371456,0.7980929999999999,2.963989972982158,4.09375442474035
2008-05-20,21.047817500000026,14.254662500000023,18.355477500000024,55.70077947244872,65.98313586305594,0.009291,2.8470789511977914,4.021075358114477
2008-05-21,25.280235000000033,16.58678500000002,20.333815625000028,40.50296637566523,70.5491104248716,1.1895285,1.935751831428824,3.8610483132678057
2008-05-22,25.261950000000027,15.299005000000008,20.518745625000022,46.19716335439373,62.00100198385115,0.0,2.5706870542250644,4.7333589278062
2008-05-23,23.268400000000028,17.118190000000013,20.030991250000017,55.13891133293061,73.78339262720206,0.404121,3.661772321339093,6.330385420542402
2008-05-24,20.77117250000002,14.24343250000004,18.05507000000002,43.59418522744511,68.18185746002911,0.0651315,3.6469095335415576,4.517856018840259
2008-05-25,18.11876750000002,14.730217500000023,16.66905687500002,61.048963460714475,72.37315035083881,12.895338,3.208248152726074,4.058010173968507
2008-05-26,20.92623500000002,11.767357500000015,16.443048125000022,45.05039514521619,70.54550026736015,0.0,2.5584806326716003,4.5555915257349096
2008-05-27,19.385272500000028,13.303857500000037,16.761345000000027,60.982799780349005,73.68174243326851,7.321273499999999,3.272341030326416,4.349380540667399
2008-05-28,20.984607500000024,12.94942500000002,17.22585937500002,45.313896012985545,68.07129689594352,0.11583,3.4159598063022045,4.602198628101438
2008-05-29,21.0070125,15.046110000000027,18.04655000000002,62.63729767712016,78.70656843254336,0.5265495,3.2490428123382995,4.624219484413674
2008-05-30,20.526362500000033,15.96575500000003,18.313623125000024,54.42250446041832,77.55206336376277,5.0925315,2.387807808511555,4.089237504738658
2008-05-31,22.09158000000002,14.107690000000034,18.604478750000027,43.72636936509021,62.38107057070431,0.1746,2.807622417218852,3.9962228742001606
2008-06-01,23.84457000000002,13.68301000000001,19.062233750000026,42.632023335295166,65.67085750256169,0.0,2.881292709126458,4.931558461711011
2008-06-02,26.024377500000018,14.67599250000002,19.99802687500002,33.37051943729245,61.41256495478491,0.0,2.363871086207317,3.441744666194697
