,start,length,peak,mean_tmax,year
116,2020-07-30,3,39.06631000000003,37.79582333333335,2020
117,2020-09-07,3,34.21743000000002,33.26922833333335,2020
118,2020-10-04,3,31.55202500000003,30.223209166666695,2020
119,2020-12-24,3,16.43734000000002,15.662123333333355,2020
120,2020-12-29,4,18.082540000000023,16.608452255859394,2020
121,2021-01-07,5,19.196313476562523,17.179803466796898,2021
122,2021-02-01,10,19.640863037109398,17.475027465820336,2021
123,2021-04-30,4,33.33425292968752,30.73420104980471,2021
124,2021-06-23,4,40.46914062500002,38.96926269531252,2021
125,2021-06-29,4,40.43032226562502,37.90914306640627,2021
126,2021-07-27,11,43.01809082031252,40.4462829589844,2021
127,2021-09-17,4,35.0505310058594,34.1334167480469,2021
128,2022-01-01,6,17.206628417968773,16.223540242513042,2022
129,2022-05-24,5,34.76723632812502,32.749829101562526,2022
130,2022-06-03,4,35.32875976562502,34.17330322265627,2022
131,2022-09-15,3,34.81813964843752,33.35484212239586,2022
132,2022-10-23,4,27.023950195312523,26.647363281250023,2022
133,2022-10-31,6,26.455346679687523,25.07501627604169,2022
134,2022-11-17,4,24.558984375000023,22.298196411132835,2022
135,2022-12-09,4,17.507043457031273,16.961877441406273,2022
136,2022-12-15,4,19.817407226562523,18.65149841308596,2022
137,2022-12-25,3,16.811242675781273,16.24482625325523,2022
138,2023-01-17,3,20.113732910156273,18.534509277343773,2023
139,2023-02-19,4,20.087182617187523,19.26106414794924,2023
140,2023-02-25,3,20.379235839843773,20.081689453125023,2023
141,2023-07-12,3,41.70888671875002,40.02643229166669,2023
142,2023-07-18,9,43.25826416015627,40.0627143012153,2023
143,2023-08-02,4,37.42214355468752,37.10962829589846,2023
144,2023-08-21,3,37.05001220703127,36.54260660807294,2023
145,2023-10-20,3,26.083825683593773,25.945530192057316,2023
146,2023-12-01,3,21.534692382812523,20.041711425781273,2023
147,2023-12-22,4,17.520745849609398,16.40211639404299,2023
148,2024-01-04,3,17.425988769531273,16.299645996093773,2024
149,2024-02-05,5,18.693383789062523,18.393060302734398,2024
150,2024-03-28,6,27.028527832031273,24.73907877604169,2024
151,2024-04-04,3,26.381250000000023,24.98920084635419,2024
152,2024-04-09,8,29.669519042968773,26.53509674072268,2024
153,2024-06-02,4,35.17928466796877,34.36309204101565,2024
154,2024-06-08,7,38.98195800781252,36.27234584263395,2024
155,2024-06-19,6,37.34102783203127,36.52430623372398,2024
156,2024-07-08,15,38.99733886718752,38.18611653645836,2024
157,2024-08-12,5,37.93496093750002,37.172131347656276,2024
158,2024-09-03,4,34.52041015625002,34.098916625976585,2024
159,2025-03-11,6,26.364282226562523,23.625049845377628,2025
160,2025-06-25,3,38.25588378906252,37.44055582682294,2025
161,2025-07-21,7,41.52077636718752,39.26174316406252,2025
162,2025-11-18,4,21.745324707031273,20.513162231445335,2025
