valid_time,year,month,precip_3mo,spi3
1994-02-01,1994,2,245.08309442238004,0.5329129390021115
1994-03-01,1994,3,231.74572074831002,0.6368170349643576
1994-04-01,1994,4,207.20815655703,0.6315950566399144
1994-05-01,1994,5,152.12988812328004,-0.018284712390941083
1994-06-01,1994,6,134.16194888466003,0.42043015175375653
1994-07-01,1994,7,82.28945698440005,-0.08650320817309566
1994-08-01,1994,8,49.442052480450045,-0.3414770849778769
1994-09-01,1994,9,33.95032844352004,-1.2851325331198802
1994-10-01,1994,10,216.60733211946004,1.4465672599262978
1994-11-01,1994,11,269.51622917922003,1.4941701584677394
1994-12-01,1994,12,326.39408056776006,1.9481240392106927
1995-01-01,1995,1,279.93536036886,0.8293840861635079
1995-02-01,1995,2,222.56541338382004,0.2678386504673572
1995-03-01,1995,3,247.72024211691001,0.8274463783787939
1995-04-01,1995,4,124.41945031983002,-0.903121978215556
1995-05-01,1995,5,151.40891037726004,-0.03229791545615827
1995-06-01,1995,6,70.79172135720003,-1.0636353672588212
1995-07-01,1995,7,91.11499797315003,0.10684832004912538
1995-08-01,1995,8,114.76135219395002,0.9826880815556931
1995-09-01,1995,9,149.19733965570003,1.1870632878175333
1995-10-01,1995,10,110.77880816301004,0.04933346940223026
1995-11-01,1995,11,82.07988736311003,-1.3676145502973929
1995-12-01,1995,12,207.80110402686003,0.22306292076593792
1996-01-01,1996,1,293.28203260416,0.9633656135619308
1996-02-01,1996,2,350.40164049729003,1.5971736442576858
1996-03-01,1996,3,269.27447342292004,1.072347340102233
1996-04-01,1996,4,218.98913380287001,0.8142378830002486
1996-05-01,1996,5,154.40297134401,0.025607008469533902
1996-06-01,1996,6,94.49601169014002,-0.430730078922232
1996-07-01,1996,7,59.13662940195003,-0.671787115154355
1996-08-01,1996,8,55.375814557830026,-0.18386279158962687
1996-09-01,1996,9,54.90374577384003,-0.6050388843699648
1996-10-01,1996,10,90.01636460904002,-0.3227675423321476
1996-11-01,1996,11,107.17713800136002,-0.8173454672182505
1996-12-01,1996,12,153.39553347414002,-0.7971503776444057
1997-01-01,1997,1,194.12970566877004,-0.15253099155078412
1997-02-01,1997,2,205.38961912812005,0.05341791210256253
1997-03-01,1997,3,186.05840231940002,0.038633428616679275
1997-04-01,1997,4,168.75457756971002,-0.017188357311443903
1997-05-01,1997,5,158.39266787883003,0.10161269678710609
1997-06-01,1997,6,118.35837351051003,0.10468162527604298
1997-07-01,1997,7,76.92003312570003,-0.21107618986331275
1997-08-01,1997,8,108.86621515257002,0.8881061636463071
1997-09-01,1997,9,111.41681711103004,0.599701881511877
1997-10-01,1997,10,153.42736236543004,0.6873610942186087
1997-11-01,1997,11,147.37772897814006,-0.09781897819704315
1997-12-01,1997,12,217.11015648195004,0.3789817961898447
1998-01-01,1998,1,166.11957499380003,-0.5357530630263981
1998-02-01,1998,2,161.90671913181004,-0.5494871531936063
1998-03-01,1998,3,169.09217817510006,-0.20846089814695515
1998-04-01,1998,4,154.98089771682004,-0.2735347866876609
1998-05-01,1998,5,163.19274850773004,0.1913829721580334
1998-06-01,1998,6,78.89413800432003,-0.8327958854880612
1998-07-01,1998,7,67.51012776201003,-0.44448155585386506
1998-08-01,1998,8,6.639003773790043,-2.452709514608043
1998-09-01,1998,9,16.548871997910044,-2.1491224160188596
1998-10-01,1998,10,28.59413633013004,-2.009290501424842
1998-11-01,1998,11,269.21510694438,1.4908998723047855
1998-12-01,1998,12,348.41608991949005,2.221124208053986
1999-01-01,1999,1,387.69614686923006,1.8142081961123493
1999-02-01,1999,2,191.53904886792006,-0.12839610410366697
