year,t2m_mean,d2m_mean,rh_mean,heat_index_mean,dpd_mean,wind_mean,t2m_p95,t2m_p05,tmax_mean,tmin_mean,precip_scaled,days tmax≥30°C,days tmax≥33°C,days tmax≥35°C,days tmax≥37°C,days tmax≥40°C,tropical nights tmin≥20°C,days heat index≥35°C,heatwaves,heatwave days,longest (days),wet days,mean intensity (mm/wet day),max 1-day (mm),P95 wet-day (mm),longest dry spell (days)
2009,15.787006738013723,8.919864426369886,67.687154304012,15.12570712400528,6.867142311643836,1.53447209259885,30.375487750000016,2.925705125000011,21.075572486301393,11.814915952054818,674.05664950242,68,26,13,3,1,59,8,4,15,6,91,7.076543768930769,56.63108865,20.192384597594998,40
2010,16.13097520034249,9.095942928082215,67.04585935110596,15.516374715247057,7.035032272260274,1.5892652208998301,30.817940625000038,2.5863872500000213,21.256807095890434,12.242041246575367,630.68354080425,73,37,16,3,0,67,17,6,26,8,85,7.003279286968941,37.513017495,19.0964698536,34
2011,14.862092914383586,7.912065761986324,67.16201457110415,14.095904876142926,6.9500271523972605,1.5123768398798803,31.031551500000013,1.239551625000021,20.257524191780846,10.75928379452057,607.95414418587,79,35,6,1,0,57,6,2,7,4,90,6.460793809994333,35.14766692845,19.747746070124993,37
2012,15.924531509562863,7.749553746584722,63.34807533935,15.112541418309924,8.174977762978143,1.6101313824235566,32.06721012500002,-0.14947474999997346,21.563256653005485,11.657238524590186,733.30915128264,100,56,35,19,1,73,30,4,22,9,88,8.088091575781364,43.118477085,29.73593490149997,43
2013,16.18460791952057,7.795848482876735,62.29849965497979,15.38543094853553,8.388759436643836,1.6294179640750839,30.862833125000027,1.909513500000013,21.932644842465777,11.883132321917833,439.4195082042,91,35,8,1,0,67,2,3,18,11,68,6.0895295729607355,19.979953656,15.721786079578496,39
2014,16.35032944863016,8.997689263698653,66.60856241031699,15.685793173421041,7.3526401849315075,1.5546375576466984,30.743949375000028,4.001006125000018,21.641667164383584,12.382396904109612,670.12381518198,82,40,23,6,0,65,12,6,23,5,102,6.244098434784117,39.818287049999995,19.324135759424927,25
2015,15.645486820205504,8.025898419520571,64.53075710876128,14.879190530655004,7.619588400684932,1.5081209348178288,30.88785700000001,0.9128496250000141,21.091716191780844,11.531964678082215,703.98259190805,77,44,19,5,0,62,10,6,24,5,99,6.824832976759697,49.617290720999996,25.055980651499993,27
2016,16.221852815915323,7.6736301297814435,61.55393315875084,15.41987168185574,8.54822268613388,1.6877574720175548,31.255409750000023,1.236411750000032,21.91304153688527,11.883833080601114,558.49242171924,86,45,19,3,1,70,12,5,27,9,83,6.413000170609518,45.089721525,19.741559248010965,31
2017,15.777305657534269,7.43035826712331,62.19050915949955,14.963169728927058,8.346947390410959,1.5794558487131136,31.305322750000038,0.9245786250000173,21.660970308219202,11.396764883561668,758.61668732235,87,44,25,9,3,59,21,8,33,6,76,9.588934893072631,110.18657837999999,26.179790558962495,33
2018,16.21704410445208,9.0271169212329,66.23555158925036,15.574666567182522,7.189927183219178,1.5915013886434015,30.729118375000024,2.500785625000008,21.587496787671252,12.129296219178105,879.2417034343799,86,27,3,1,0,67,3,1,6,6,102,8.41587429870353,62.026262024999994,29.821086021749988,23
2019,16.4401229212329,8.510219441780846,63.87106122870391,15.733054674731742,7.929903479452054,1.6248460383986123,31.737260625000026,1.63907725000002,22.17133208904112,12.148950541095912,664.16788125147,95,50,23,5,1,79,18,5,18,6,85,7.48786085097247,75.54388120499999,22.304534796809993,33
2020,16.121597225068328,8.112692839822428,63.24315680261473,15.374953413031507,8.008904385245902,1.6371556137736651,31.411794500000006,2.393762000000028,22.14790185792352,11.668781345628439,562.09516648905,93,42,14,4,0,66,10,9,34,8,85,6.385963118359058,31.976938320000002,19.344806704559996,39
2021,16.232587380605224,7.506905542661088,61.43880199619235,15.389492601931192,8.725681837944135,1.6815171497405554,32.59254150390627,1.734089660644554,21.93199404363765,11.950196399427462,589.6639823913124,98,64,39,21,9,78,31,7,42,11,90,6.210581461588085,54.219245910643195,17.918908596037568,27
2022,15.918072718790155,8.07530214492591,63.73684989894569,15.162322139928904,7.842770573864245,1.584280212166005,30.78996276855471,1.0805130004883041,21.602582790427036,11.754724539142789,835.916519164993,77,44,16,4,0,67,11,10,43,6,88,9.250069206410693,90.13795852661077,38.403904438017406,33
2023,16.373918507197153,8.79390973652881,65.01172265032513,15.69476923854102,7.580008770668344,1.6230776191871226,31.840625000000017,2.6591323852539293,21.963396715138078,12.25222786681295,828.4041881560851,76,54,32,16,7,72,25,10,39,9,91,8.839908536973448,88.2604122161853,29.25574779510432,35
2024,17.007030261930897,9.047052064489169,63.65695921195295,16.350931250280386,7.9599781974417265,1.5751138050514963,33.86429748535157,3.431001281738304,22.719575542178983,12.832651840793654,714.4496440887062,102,80,50,24,0,98,46,11,66,15,82,8.41916188961078,82.1735858917221,23.839688301085765,25
2025,16.294750495806156,9.548629823449563,68.31546524302249,15.713841662154532,6.746120672356592,1.441340088754122,32.255917358398456,2.9791351318359602,21.567233150952504,12.517330472763293,685.269355773876,95,48,25,12,2,79,24,4,20,7,96,6.848163902759068,54.25071716308485,15.93321561813256,40
