valid_time,year,month,precip_3mo_raw,spi3_raw,precip_3mo_corrected,spi3_corrected
2029-09-01,2029,9,32.0572499904195,-1.3602600211973113,50.84173535446354,-0.7203443229250663
2029-10-01,2029,10,32.26416200481201,-1.8557642182005427,48.87923500851281,-1.2886776154503035
2029-11-01,2029,11,54.87155097791735,-2.1211974347802935,40.612267975116026,-2.6325910431564066
2029-12-01,2029,12,122.66564126211816,-1.4876412633567575,106.54685826235914,-1.8990391828186743
2030-01-01,2030,1,194.0092396852371,-0.15409633593756872,175.10212077904407,-0.4083820211534591
2030-02-01,2030,2,241.37527784357576,0.49040507559699675,251.84165152401317,0.6093192492018488
2030-03-01,2030,3,194.48422500456462,0.15576102778771056,198.97108215031312,0.21675667958861525
2030-04-01,2030,4,152.4412620334473,-0.3224575061656701,171.84403173071544,0.03836822888504632
2030-05-01,2030,5,88.03773118453924,-1.4994055543907756,88.16017191107083,-1.4959515858915033
2030-06-01,2030,6,65.43508633007258,-1.226552105792782,57.20316323450997,-1.4962607615065862
2030-07-01,2030,7,33.64164296332973,-1.5455883368342815,13.446375986834635,-2.712376187909026
2030-08-01,2030,8,19.760469396656557,-1.4404670651496132,10.593713709344986,-2.0495008921969227
2030-09-01,2030,9,41.5479055903227,-1.0109048236949258,58.092278479430064,-0.5186215173153594
2030-10-01,2030,10,149.3289159088343,0.6315790316846928,184.1654156894069,1.0777102033419284
2030-11-01,2030,11,198.5537661857594,0.6469433604290333,214.41069007248205,0.8514888792373725
2030-12-01,2030,12,259.7796783038076,1.0421774822406267,259.6441903772924,1.0401892570318032
2031-01-01,2031,1,345.9497597792626,1.4565784578840901,337.08056170033666,1.3770875779027905
2031-02-01,2031,2,332.05805368520544,1.4283714111977206,340.02723912066745,1.5024212621270667
2031-03-01,2031,3,291.1915166349539,1.3086638863392648,296.90598145241364,1.368380861564618
2031-04-01,2031,4,109.50477550528817,-1.2495805564860398,108.77552497622644,-1.2673369151849152
2031-05-01,2031,5,166.2678011014769,0.2479720582367752,205.93584991137482,0.9228441089915236
2031-06-01,2031,6,216.85266216718105,1.7652316746803944,257.20421855665165,2.3020414282773984
2031-07-01,2031,7,224.7088894084242,2.1538007077403196,270.97325527880116,2.6703731047052277
2031-08-01,2031,8,129.25827675006175,1.2027471848019784,133.38129364638613,1.2624372283897927
