start,length,peak,mean_tmax,year
2035-03-19,5,27.834393909464264,24.749927980286408,2035
2035-05-28,5,35.36325424929959,33.27834876845532,2035
2035-06-15,5,37.421220239923166,36.6412963816614,2035
2035-06-22,4,42.63718416666667,39.2042171114518,2035
2035-07-18,3,37.37450213543094,37.07656572380436,2035
2035-07-26,11,38.73847242966321,37.00429492440824,2035
2035-10-01,14,34.15691416666668,31.589048061449347,2035
2035-11-16,7,22.00888093538432,21.01875174331664,2035
2035-12-07,4,24.290208333333336,21.152620840700035,2035
2035-12-12,9,23.897951666666668,17.649831828754515,2035
2035-12-30,6,20.990243333333343,19.05545886452963,2035
2036-01-09,3,19.589880000000022,17.664562843313977,2036
2036-01-14,3,18.075932014458317,15.74910448538057,2036
2036-02-20,3,20.50431681414159,19.3964349049344,2036
2036-04-21,3,27.33339194155306,26.678321777701417,2036
2036-07-06,5,41.14469508695849,38.49637512214634,2036
2036-07-17,3,41.99823396866851,40.41235872258011,2036
2036-11-05,17,25.695307600678905,23.047146483185315,2036
2036-12-05,3,20.64097354249657,19.455809519305067,2036
2036-12-10,6,23.998659999999997,19.398553095484857,2036
2036-12-22,4,20.397560726605484,17.298136814890647,2036
2036-12-28,4,23.985924999999995,19.420204226854544,2036
2037-02-07,3,19.959212273781638,18.872515051380322,2037
2037-02-11,6,20.559437842972095,18.507731329880922,2037
2037-03-21,10,30.978113333333344,25.597401501195236,2037
2037-08-07,3,37.94707515843969,37.0453132989138,2037
2037-08-19,5,37.29036169042254,36.467174154772216,2037
2037-10-10,5,30.060287284822184,28.896008992043978,2037
2037-11-01,5,25.910174495666226,25.50879135399456,2037
2038-05-11,4,31.127150792747617,30.221204669197107,2038
2038-06-10,7,44.55605083333334,39.817146964664005,2038
2038-06-20,3,38.56941929576054,37.04666302648503,2038
2038-06-25,5,42.579527500000005,39.991842100029615,2038
2038-07-16,3,39.77115812417551,38.17457505975527,2038
2038-07-20,32,40.66410195078702,38.06945235719538,2038
2038-08-22,7,38.05619724544645,36.45673239448943,2038
2038-09-06,3,34.45124500738454,34.227665553308164,2038
2038-12-04,4,22.715214843872946,20.653077466180214,2038
2039-02-12,6,18.950025907529017,17.84500563323677,2039
2039-03-02,9,24.545154182398466,22.554146667953944,2039
2039-03-25,7,30.89079189212639,27.36502450727173,2039
2039-04-11,4,26.181091625995954,25.422053012247922,2039
2039-04-22,8,30.148220000000006,28.957918545829525,2039
2039-05-01,4,29.385585833825992,28.74583948767444,2039
2039-06-05,3,34.217436980119814,33.75080220580283,2039
2039-06-23,7,43.93102750000001,40.156483232533674,2039
2039-07-13,6,40.40509250367532,38.85166468438791,2039
